Party,Latest poll,Historic result,Change
Positive,18.05,40,-21.9
Negative,62.49,23,+39.5
Positive (under-50s),21.3,43,-21.7
Negative (under-50s),53.19,18,+35.2
Positive (over-50s),14.6,37,-22.4
Negative (over-50s),69.6,28,+41.6
