Party,Latest poll,Historic result,Change
Con,13.0,13,+0.0
Lab,16.0,35,-19.0
LDem,9.0,10,-1.0
Grn,11.0,4,+7.0
SNP,30.0,30,+0.0
Reform,19.0,7,+12.0
