date,pollster,Thatcher approve,Thatcher disapprove,Thatcher net,Major approve,Major disapprove,Major net,Blair approve,Blair disapprove,Blair net,Brown approve,Brown disapprove,Brown net,Cameron approve,Cameron disapprove,Cameron net,May approve,May disapprove,May net,Johnson approve,Johnson disapprove,Johnson net,Truss approve,Truss disapprove,Truss net,Sunak approve,Sunak disapprove,Sunak net,Starmer approve,Starmer disapprove,Starmer net
2025-08-08,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-15,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-08-22,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-05,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-11,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-19,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-26,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-29,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-03,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-07,B.E.N.M.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-15,B.E.N.M.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-19,B.E.N.M.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-24,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-02,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-07,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-12,B.E.N.M.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-21,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-28,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-01,More in Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-02,Ipsos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-08,More in Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-12,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-12-23,More in Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-01,B.E.N.M.A.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-09,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-23,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-01,Freshwater Strategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-06,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-10,More in Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-11,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-27,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-05,Survation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-06,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-11,Ipsos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-20,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-23,YouGov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,BMG Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,More in Common,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-08,Opinium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
