Portrait,Party,Latest %,vs 2m,vs 6m
,Con,10.0,-0.2,+2.1
,Lab,29.1,+1.2,+10.6
,LDem,9.7,-0.4,-4.4
,Grn,23.7,-2.2,-19.2
,Reform,17.4,+1.0,+9.3
