Party,Latest poll,2024 general election,Change
Con,19.2,24,-4.8
Lab,19.79,35,-15.2
LDem,12.1,13,-0.9
Grn,13.41,7,+6.4
Reform,26.11,15,+11.1
Other,9.4,6,+3.4
