Portrait,Party,Latest %,vs 2m,vs 6m
,Con,19.1,+0.7,+2.4
,Lab,18.6,+1.6,+3.9
,LDem,7.4,-1.1,-3.6
,Grn,9.0,-1.4,-5.5
,Reform,32.6,-0.9,-0.8
