Portrait,Party,Latest %,vs 2m,vs 6m
,Con,21.3,+0.8,+0.6
,Lab,14.3,+1.0,+0.5
,LDem,18.9,+0.4,-0.4
,Grn,13.4,-2.1,-2.1
,Reform,26.2,+0.1,-0.8
