Party,Latest poll,2024 general election,Change
Con,22.05,24,-1.9
Lab,17.87,35,-17.1
LDem,16.56,13,+3.6
Grn,11.18,7,+4.2
Reform,26.35,15,+11.4
Other,6.0,6,+0.0
