date,Con (to 2015 election),Con (to 2015 election) (low),Con (to 2015 election) (high),Con (to 2017 election),Con (to 2017 election) (low),Con (to 2017 election) (high),Con (to 2019 election),Con (to 2019 election) (low),Con (to 2019 election) (high),Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (to 2015 election),Lab (to 2015 election) (low),Lab (to 2015 election) (high),Lab (to 2017 election),Lab (to 2017 election) (low),Lab (to 2017 election) (high),Lab (to 2019 election),Lab (to 2019 election) (low),Lab (to 2019 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (to 2015 election),LDem (to 2015 election) (low),LDem (to 2015 election) (high),LDem (to 2017 election),LDem (to 2017 election) (low),LDem (to 2017 election) (high),LDem (to 2019 election),LDem (to 2019 election) (low),LDem (to 2019 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (to 2015 election),Ukip (to 2015 election) (low),Ukip (to 2015 election) (high),Ukip (to 2017 election),Ukip (to 2017 election) (low),Ukip (to 2017 election) (high),Ukip (to 2019 election),Ukip (to 2019 election) (low),Ukip (to 2019 election) (high),Grn (to 2015 election),Grn (to 2015 election) (low),Grn (to 2015 election) (high),Grn (to 2017 election),Grn (to 2017 election) (low),Grn (to 2017 election) (high),Grn (to 2019 election),Grn (to 2019 election) (low),Grn (to 2019 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (to 2015 election),SNP (to 2015 election) (low),SNP (to 2015 election) (high),SNP (to 2017 election),SNP (to 2017 election) (low),SNP (to 2017 election) (high),SNP (to 2019 election),SNP (to 2019 election) (low),SNP (to 2019 election) (high),SNP (to 2024 election),SNP (to 2024 election) (low),SNP (to 2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (to 2019 election),Reform (to 2019 election) (low),Reform (to 2019 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2010-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,39.0,11.0,5.0,,29.0,,
2010-09-10,16.0,16.0,16.0,,,,,,,,,,,,,39.0,39.0,39.0,,,,,,,,,,,,,11.0,11.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,29.0,29.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-11,16.0,16.0,18.0,,,,,,,,,,,,,39.0,39.0,44.0,,,,,,,,,,,,,11.0,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,29.0,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-12,16.01,16.0,18.0,,,,,,,,,,,,,39.01,39.0,44.0,,,,,,,,,,,,,10.99,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.99,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-13,16.02,16.0,18.0,,,,,,,,,,,,,39.05,39.0,44.0,,,,,,,,,,,,,10.96,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.97,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-14,16.04,16.0,18.0,,,,,,,,,,,,,39.1,39.0,44.0,,,,,,,,,,,,,10.92,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.94,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-15,16.08,16.0,18.0,,,,,,,,,,,,,39.19,39.0,44.0,,,,,,,,,,,,,10.85,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.89,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-16,16.12,16.0,18.0,,,,,,,,,,,,,39.3,39.0,44.0,,,,,,,,,,,,,10.76,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.82,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-17,16.18,16.0,18.0,,,,,,,,,,,,,39.44,39.0,44.0,,,,,,,,,,,,,10.65,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.74,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-18,16.24,16.0,18.0,,,,,,,,,,,,,39.6,39.0,44.0,,,,,,,,,,,,,10.52,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.64,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-19,16.31,16.0,18.0,,,,,,,,,,,,,39.78,39.0,44.0,,,,,,,,,,,,,10.37,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.53,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-20,16.39,16.0,18.0,,,,,,,,,,,,,39.99,39.0,44.0,,,,,,,,,,,,,10.21,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.41,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-21,16.48,16.0,18.0,,,,,,,,,,,,,40.2,39.0,44.0,,,,,,,,,,,,,10.04,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.28,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-22,16.57,16.0,18.0,,,,,,,,,,,,,40.42,39.0,44.0,,,,,,,,,,,,,9.86,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.15,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-23,16.66,16.0,18.0,,,,,,,,,,,,,40.66,39.0,44.0,,,,,,,,,,,,,9.67,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,28.01,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-24,16.76,16.0,18.0,,,,,,,,,,,,,40.89,39.0,44.0,,,,,,,,,,,,,9.48,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,27.86,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-25,16.85,16.0,18.0,,,,,,,,,,,,,41.14,39.0,44.0,,,,,,,,,,,,,9.29,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,27.72,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-26,16.95,16.0,18.0,,,,,,,,,,,,,41.38,39.0,44.0,,,,,,,,,,,,,9.1,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,27.57,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-27,17.05,16.0,18.0,,,,,,,,,,,,,41.62,39.0,44.0,,,,,,,,,,,,,8.9,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,27.43,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-28,17.15,16.0,18.0,,,,,,,,,,,,,41.86,39.0,44.0,,,,,,,,,,,,,8.71,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,27.28,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-29,17.24,16.0,18.0,,,,,,,,,,,,,42.11,39.0,44.0,,,,,,,,,,,,,8.52,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,27.14,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,17.34,16.0,18.0,,,,,,,,,,,,,42.34,39.0,44.0,,,,,,,,,,,,,8.33,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.99,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-01,17.43,16.0,18.0,,,,,,,,,,,,,42.58,39.0,44.0,,,,,,,,,,,,,8.14,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.85,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-02,17.52,16.0,18.0,,,,,,,,,,,,,42.8,39.0,44.0,,,,,,,,,,,,,7.96,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.72,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-03,17.61,16.0,18.0,,,,,,,,,,,,,43.01,39.0,44.0,,,,,,,,,,,,,7.79,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.59,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-04,17.69,16.0,18.0,,,,,,,,,,,,,43.22,39.0,44.0,,,,,,,,,,,,,7.63,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.47,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-05,17.76,16.0,18.0,,,,,,,,,,,,,43.4,39.0,44.0,,,,,,,,,,,,,7.48,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.36,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-06,17.82,16.0,18.0,,,,,,,,,,,,,43.56,39.0,44.0,,,,,,,,,,,,,7.35,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.26,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-07,17.88,16.0,18.0,,,,,,,,,,,,,43.7,39.0,44.0,,,,,,,,,,,,,7.24,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.18,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-08,17.92,16.0,18.0,,,,,,,,,,,,,43.81,39.0,44.0,,,,,,,,,,,,,7.15,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.11,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-09,17.96,16.0,18.0,,,,,,,,,,,,,43.9,39.0,44.0,,,,,,,,,,,,,7.08,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.06,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-10,17.98,16.0,18.0,,,,,,,,,,,,,43.95,39.0,44.0,,,,,,,,,,,,,7.04,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.03,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-11,17.99,16.0,18.0,,,,,,,,,,,,,43.99,39.0,44.0,,,,,,,,,,,,,7.01,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.01,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-12,18.0,16.0,18.0,,,,,,,,,,,,,44.0,39.0,44.0,,,,,,,,,,,,,7.0,7.0,11.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.0,26.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-13,18.0,18.0,18.0,,,,,,,,,,,,,44.0,44.0,44.0,,,,,,,,,,,,,7.0,7.0,7.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,44.0,7.0,5.0,,26.0,,
2011-03-06,17.0,17.0,17.0,,,,,,,,,,,,,46.0,46.0,46.0,,,,,,,,,,,,,6.0,6.0,6.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-07,17.0,16.0,17.0,,,,,,,,,,,,,46.0,43.0,46.0,,,,,,,,,,,,,6.0,6.0,9.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.0,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-08,17.0,16.0,17.0,,,,,,,,,,,,,45.99,43.0,46.0,,,,,,,,,,,,,6.01,6.0,9.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.01,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-09,16.99,16.0,17.0,,,,,,,,,,,,,45.96,43.0,46.0,,,,,,,,,,,,,6.04,6.0,9.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.03,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-10,16.97,16.0,17.0,,,,,,,,,,,,,45.92,43.0,46.0,,,,,,,,,,,,,6.08,6.0,9.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.05,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-11,16.96,16.0,17.0,,,,,,,,,,,,,45.87,43.0,46.0,,,,,,,,,,,,,6.13,6.0,9.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.09,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-12,16.93,16.0,17.0,,,,,,,,,,,,,45.8,43.0,46.0,,,,,,,,,,,,,6.2,6.0,9.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.13,26.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-13,16.91,15.99,17.0,,,,,,,,,,,,,45.73,43.0,46.0,,,,,,,,,,,,,6.27,6.0,9.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.18,26.0,28.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-14,16.88,15.94,17.0,,,,,,,,,,,,,45.64,43.0,46.0,,,,,,,,,,,,,6.35,6.0,8.98,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.25,26.0,28.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-15,16.84,15.87,16.99,,,,,,,,,,,,,45.54,43.0,45.99,,,,,,,,,,,,,6.44,6.0,8.94,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.32,26.01,28.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-16,16.79,15.8,16.99,,,,,,,,,,,,,45.44,43.0,45.98,,,,,,,,,,,,,6.53,6.01,8.9,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.41,26.03,28.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-17,16.75,15.74,16.97,,,,,,,,,,,,,45.32,43.0,45.96,,,,,,,,,,,,,6.62,6.01,8.86,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.51,26.05,28.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-18,16.69,15.67,16.96,,,,,,,,,,,,,45.21,43.0,45.95,,,,,,,,,,,,,6.7,6.02,8.82,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.62,26.07,28.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-19,16.64,15.62,16.95,,,,,,,,,,,,,45.1,43.0,45.93,,,,,,,,,,,,,6.78,6.03,8.77,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.72,26.1,28.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-20,16.58,15.0,17.0,,,,,,,,,,,,,44.99,43.0,46.0,,,,,,,,,,,,,6.86,6.0,9.0,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,26.83,26.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-21,16.53,15.01,17.0,,,,,,,,,,,,,44.88,43.0,46.0,,,,,,,,,,,,,6.92,6.0,9.0,,,,,,,,,,,,,5.0,4.99,5.0,,,,,,,,,,,,,,,,,,,,,,26.94,26.0,29.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-22,16.48,15.03,17.0,,,,,,,,,,,,,44.78,42.99,45.99,,,,,,,,,,,,,6.98,6.0,8.98,,,,,,,,,,,,,4.99,4.94,5.0,,,,,,,,,,,,,,,,,,,,,,27.04,26.01,29.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-23,16.43,15.08,17.0,,,,,,,,,,,,,44.68,42.96,45.96,,,,,,,,,,,,,7.04,6.01,8.95,,,,,,,,,,,,,4.98,4.85,5.0,,,,,,,,,,,,,,,,,,,,,,27.15,26.02,29.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-24,16.39,15.15,17.0,,,,,,,,,,,,,44.58,42.93,45.92,,,,,,,,,,,,,7.09,6.02,8.9,,,,,,,,,,,,,4.96,4.74,5.0,,,,,,,,,,,,,,,,,,,,,,27.24,26.04,29.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-25,16.35,15.22,17.0,,,,,,,,,,,,,44.49,42.9,45.86,,,,,,,,,,,,,7.13,6.03,8.83,,,,,,,,,,,,,4.93,4.61,5.0,,,,,,,,,,,,,,,,,,,,,,27.33,26.07,29.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-26,16.32,15.28,17.0,,,,,,,,,,,,,44.39,42.85,45.78,,,,,,,,,,,,,7.16,6.05,8.76,,,,,,,,,,,,,4.89,4.48,5.0,,,,,,,,,,,,,,,,,,,,,,27.41,26.11,29.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-27,16.29,15.33,17.0,,,,,,,,,,,,,44.31,42.81,45.69,,,,,,,,,,,,,7.19,6.08,8.69,,,,,,,,,,,,,4.85,4.35,5.0,,,,,,,,,,,,,,,,,,,,,,27.49,26.16,29.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-28,16.27,15.39,17.0,,,,,,,,,,,,,44.23,42.76,45.58,,,,,,,,,,,,,7.21,6.1,8.61,,,,,,,,,,,,,4.8,4.22,5.0,,,,,,,,,,,,,,,,,,,,,,27.56,26.21,29.57,,,,,,,,,,,,,,,,,,,,,,,,,17.0,46.0,6.0,5.0,,26.0,,
2011-03-29,16.25,15.43,17.0,,,,,,,,,,,,,44.15,42.72,45.47,,,,,,,,,,,,,7.23,6.13,8.55,,,,,,,,,,,,,4.75,4.07,5.0,,,,,,,,,,,,,,,,,,,,,,27.62,26.26,29.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-30,16.24,15.41,17.0,,,,,,,,,,,,,44.08,42.68,45.35,,,,,,,,,,,,,7.25,6.16,8.51,,,,,,,,,,,,,4.7,3.91,5.0,,,,,,,,,,,,,,,,,,,,,,27.68,26.32,29.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,16.23,15.41,17.0,,,,,,,,,,,,,44.02,42.64,45.23,,,,,,,,,,,,,7.26,6.19,8.49,,,,,,,,,,,,,4.65,3.75,5.0,,,,,,,,,,,,,,,,,,,,,,27.72,26.38,29.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-01,16.22,15.44,17.0,,,,,,,,,,,,,43.96,42.61,45.11,,,,,,,,,,,,,7.27,6.22,8.47,,,,,,,,,,,,,4.6,3.6,5.0,,,,,,,,,,,,,,,,,,,,,,27.77,26.44,29.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-02,16.21,15.46,17.0,,,,,,,,,,,,,43.9,42.58,45.03,,,,,,,,,,,,,7.27,6.25,8.44,,,,,,,,,,,,,4.55,3.46,5.0,,,,,,,,,,,,,,,,,,,,,,27.81,26.5,29.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-03,16.2,15.48,17.0,,,,,,,,,,,,,43.85,42.55,44.98,,,,,,,,,,,,,7.28,6.28,8.41,,,,,,,,,,,,,4.5,3.32,5.0,,,,,,,,,,,,,,,,,,,,,,27.84,26.56,29.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-04,16.2,15.49,17.0,,,,,,,,,,,,,43.8,42.52,44.92,,,,,,,,,,,,,7.28,6.31,8.37,,,,,,,,,,,,,4.45,3.19,5.0,,,,,,,,,,,,,,,,,,,,,,27.87,26.61,29.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-05,16.2,15.5,17.0,,,,,,,,,,,,,43.76,42.5,44.86,,,,,,,,,,,,,7.29,6.33,8.33,,,,,,,,,,,,,4.4,3.08,5.0,,,,,,,,,,,,,,,,,,,,,,27.9,26.66,29.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-06,16.2,15.5,17.0,,,,,,,,,,,,,43.71,42.48,44.79,,,,,,,,,,,,,7.29,6.35,8.31,,,,,,,,,,,,,4.36,2.98,5.0,,,,,,,,,,,,,,,,,,,,,,27.93,26.71,29.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-07,16.19,15.51,17.0,,,,,,,,,,,,,43.67,42.46,44.73,,,,,,,,,,,,,7.29,6.38,8.29,,,,,,,,,,,,,4.32,2.9,5.0,,,,,,,,,,,,,,,,,,,,,,27.95,26.76,29.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-08,16.19,15.52,17.0,,,,,,,,,,,,,43.64,42.44,44.67,,,,,,,,,,,,,7.3,6.4,8.29,,,,,,,,,,,,,4.27,2.82,5.0,,,,,,,,,,,,,,,,,,,,,,27.98,26.8,29.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-09,16.19,15.52,17.0,,,,,,,,,,,,,43.6,42.42,44.61,,,,,,,,,,,,,7.3,6.42,8.29,,,,,,,,,,,,,4.23,2.76,5.0,,,,,,,,,,,,,,,,,,,,,,28.0,26.84,29.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-10,16.19,15.51,17.0,,,,,,,,,,,,,43.56,42.41,44.55,,,,,,,,,,,,,7.31,6.44,8.3,,,,,,,,,,,,,4.2,2.7,5.0,,,,,,,,,,,,,,,,,,,,,,28.02,26.88,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-11,16.19,15.51,17.0,,,,,,,,,,,,,43.53,42.4,44.5,,,,,,,,,,,,,7.31,6.46,8.31,,,,,,,,,,,,,4.16,2.66,5.0,,,,,,,,,,,,,,,,,,,,,,28.04,26.92,29.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-12,16.19,15.51,17.0,,,,,,,,,,,,,43.49,42.39,44.44,,,,,,,,,,,,,7.32,6.48,8.33,,,,,,,,,,,,,4.13,2.6,5.0,,,,,,,,,,,,,,,,,,,,,,28.06,26.96,29.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-13,16.18,15.51,17.0,,,,,,,,,,,,,43.45,42.38,44.39,,,,,,,,,,,,,7.33,6.5,8.33,,,,,,,,,,,,,4.09,2.56,5.0,,,,,,,,,,,,,,,,,,,,,,28.09,27.0,29.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-14,16.18,15.5,17.0,,,,,,,,,,,,,43.42,42.37,44.33,,,,,,,,,,,,,7.33,6.52,8.33,,,,,,,,,,,,,4.06,2.52,5.0,,,,,,,,,,,,,,,,,,,,,,28.11,27.04,29.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-15,16.18,15.5,17.0,,,,,,,,,,,,,43.38,42.36,44.29,,,,,,,,,,,,,7.35,6.54,8.33,,,,,,,,,,,,,4.03,2.49,5.0,,,,,,,,,,,,,,,,,,,,,,28.13,27.08,29.26,,,,,,,,,,,,,,,,,,,,,,,,,16.0,43.0,9.0,5.0,,28.0,,
2011-04-16,16.17,15.5,17.0,,,,,,,,,,,,,43.34,42.36,44.25,,,,,,,,,,,,,7.36,6.56,8.33,,,,,,,,,,,,,4.0,2.46,5.0,,,,,,,,,,,,,,,,,,,,,,28.16,27.12,29.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-17,16.17,15.5,17.0,,,,,,,,,,,,,43.3,42.35,44.21,,,,,,,,,,,,,7.37,6.58,8.32,,,,,,,,,,,,,3.97,2.44,5.0,,,,,,,,,,,,,,,,,,,,,,28.18,27.16,29.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-18,16.16,15.5,17.0,,,,,,,,,,,,,43.26,42.35,44.16,,,,,,,,,,,,,7.39,6.6,8.32,,,,,,,,,,,,,3.95,2.41,5.0,,,,,,,,,,,,,,,,,,,,,,28.21,27.2,29.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-04-19,16.15,15.5,17.0,,,,,,,,,,,,,43.22,42.34,44.1,,,,,,,,,,,,,7.4,6.62,8.33,,,,,,,,,,,,,3.92,2.39,5.0,,,,,,,,,,,,,,,,,,,,,,28.24,27.24,29.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
