Portrait,Party,Latest %,vs 2m,vs 6m
,Con,21.4,-0.4,-0.2
,Lab,21.9,+2.9,+3.6
,LDem,8.0,-0.7,-1.4
,Grn,14.2,-1.5,-3.8
,Reform,29.5,+1.0,+1.0
