Portrait,Party,Latest %,vs 2m,vs 6m
,Con,14.9,+-0.0,+0.7
,Lab,27.0,+1.6,+5.9
,LDem,10.8,-0.5,-1.5
,Grn,14.4,-1.2,-8.0
,Reform,22.5,+0.3,+2.6
