Portrait,Party,Latest %,vs 2m,vs 6m
,Con,19.9,+0.3,+2.6
,Lab,21.9,+1.0,+5.2
,LDem,12.3,+0.3,-0.5
,Grn,6.1,-0.8,-5.2
,Reform,28.5,-1.1,-3.4
