Party,Latest poll,2024 GE (Wales),Change
Con,14.4,18.2,-3.8
Lab,19.38,37.0,-17.6
LDem,4.84,6.5,-1.7
Grn,8.68,4.7,+4.0
Reform,23.18,16.9,+6.3
PC,29.24,14.8,+14.4
