Portrait,Party,Latest %,vs 2m,vs 6m
,Con,12.3,-0.1,+2.2
,Lab,18.6,+1.0,+4.1
,LDem,9.0,-0.7,-0.9
,Grn,7.4,-0.8,-2.1
,Reform,16.4,-0.1,-2.8
