Party,Latest poll,2024 general election,Change
Con,21.85,24,-2.1
Lab,20.63,35,-14.4
LDem,8.43,13,-4.6
Grn,14.65,7,+7.7
Reform,28.79,15,+13.8
Other,5.7,6,-0.3
