Party,Latest poll,2024 general election,Change
Con,20.84,24,-3.2
Lab,29.34,35,-5.7
LDem,11.43,13,-1.6
Grn,17.97,7,+11.0
Reform,15.91,15,+0.9
Other,4.5,6,-1.5
