Portrait,Party,Latest %,vs 2m,vs 6m
,Con,31.0,+-0.0,+3.5
,Lab,15.8,+0.8,+3.3
,LDem,11.4,-0.7,-1.4
,Grn,3.5,+-0.0,-1.9
,Reform,29.5,-0.1,-4.6
