Party,Latest poll,2024 GE (Scotland),Change
Con,13.06,12.7,+0.4
Lab,15.11,35.3,-20.2
LDem,10.53,4.7,+5.8
Grn,10.79,5.5,+5.3
Reform,17.0,7.1,+9.9
SNP,31.2,29.9,+1.3
