Party,Latest poll,2024 general election,Change
Con,17.59,24,-6.4
Lab,15.16,35,-19.8
LDem,9.75,13,-3.2
Grn,12.14,7,+5.1
Reform,34.6,15,+19.6
Other,10.8,6,+4.8
