Portrait,Party,Latest %,vs 2m,vs 6m
,Con,11.4,+0.5,+0.1
,Lab,16.0,+3.0,+0.7
,LDem,4.2,-0.4,-2.4
,Grn,7.7,-0.5,-3.0
,Reform,26.9,-2.3,+0.3
