Portrait,Party,Latest %,vs 2m,vs 6m
,Con,18.7,-0.8,-0.1
,Lab,26.7,+3.4,+6.7
,LDem,12.7,-1.3,-2.9
,Grn,11.2,-2.6,-7.6
,Reform,19.4,-0.2,+0.3
