Party,Latest poll,2024 general election,Change
Con,10.46,24,-13.5
Lab,23.33,35,-11.7
LDem,12.18,13,-0.8
Grn,32.69,7,+25.7
Reform,12.75,15,-2.2
Other,8.6,6,+2.6
