Party,Latest poll,2024 general election,Change
Con,19.89,24,-4.1
Lab,21.87,35,-13.1
LDem,12.35,13,-0.7
Grn,6.06,7,-0.9
Reform,28.46,15,+13.5
Other,11.4,6,+5.4
