Party,Latest poll,2024 general election,Change
Con,14.81,24,-9.2
Lab,28.69,35,-6.3
LDem,10.18,13,-2.8
Grn,13.03,7,+6.0
Reform,21.82,15,+6.8
Other,11.5,6,+5.5
