Portrait,Party,Latest %,vs 2m,vs 6m
,Con,19.5,+0.8,+0.5
,Lab,20.6,+1.6,+1.6
,LDem,11.8,-0.5,-0.9
,Grn,13.2,-1.2,-1.0
,Reform,25.2,-1.4,-3.5
,Other parties,9.8,+0.7,+3.1
