Portrait,Party,Latest %,vs 2m,vs 6m
,Con,20.9,+0.1,+2.4
,Lab,30.1,+0.7,+3.9
,LDem,10.8,-0.3,-2.0
,Grn,17.1,-0.8,-6.1
,Reform,16.3,+0.0,+0.7
