Party,Latest poll,2024 general election,Change
Con,31.03,24,+7.0
Lab,15.75,35,-19.2
LDem,11.4,13,-1.6
Grn,3.5,7,-3.5
Reform,29.49,15,+14.5
Other,8.8,6,+2.8
