Party,Latest poll,2024 general election,Change
Con,19.35,24,-4.6
Lab,28.22,35,-6.8
LDem,11.76,13,-1.2
Grn,11.35,7,+4.3
Reform,19.35,15,+4.4
Other,10.0,6,+4.0
