Portrait,Party,Latest %,vs 2m,vs 6m
,Con,17.3,+0.1,+2.4
,Lab,28.5,+0.9,+7.0
,LDem,8.7,-0.1,-0.5
,Grn,13.4,-0.5,-5.7
,Reform,26.6,-0.5,-2.9
