date,Con (to 2015 election),Con (to 2015 election) (low),Con (to 2015 election) (high),Con (to 2017 election),Con (to 2017 election) (low),Con (to 2017 election) (high),Con (to 2019 election),Con (to 2019 election) (low),Con (to 2019 election) (high),Con (to 2024 election),Con (to 2024 election) (low),Con (to 2024 election) (high),Con (post-2024 election),Con (post-2024 election) (low),Con (post-2024 election) (high),Lab (to 2015 election),Lab (to 2015 election) (low),Lab (to 2015 election) (high),Lab (to 2017 election),Lab (to 2017 election) (low),Lab (to 2017 election) (high),Lab (to 2019 election),Lab (to 2019 election) (low),Lab (to 2019 election) (high),Lab (to 2024 election),Lab (to 2024 election) (low),Lab (to 2024 election) (high),Lab (post-2024 election),Lab (post-2024 election) (low),Lab (post-2024 election) (high),LDem (to 2015 election),LDem (to 2015 election) (low),LDem (to 2015 election) (high),LDem (to 2017 election),LDem (to 2017 election) (low),LDem (to 2017 election) (high),LDem (to 2019 election),LDem (to 2019 election) (low),LDem (to 2019 election) (high),LDem (to 2024 election),LDem (to 2024 election) (low),LDem (to 2024 election) (high),LDem (post-2024 election),LDem (post-2024 election) (low),LDem (post-2024 election) (high),Ukip (to 2015 election),Ukip (to 2015 election) (low),Ukip (to 2015 election) (high),Ukip (to 2017 election),Ukip (to 2017 election) (low),Ukip (to 2017 election) (high),Ukip (to 2019 election),Ukip (to 2019 election) (low),Ukip (to 2019 election) (high),Grn (to 2015 election),Grn (to 2015 election) (low),Grn (to 2015 election) (high),Grn (to 2019 election),Grn (to 2019 election) (low),Grn (to 2019 election) (high),Grn (to 2024 election),Grn (to 2024 election) (low),Grn (to 2024 election) (high),Grn (post-2024 election),Grn (post-2024 election) (low),Grn (post-2024 election) (high),SNP (post-2024 election),SNP (post-2024 election) (low),SNP (post-2024 election) (high),PC (to 2015 election),PC (to 2015 election) (low),PC (to 2015 election) (high),PC (to 2017 election),PC (to 2017 election) (low),PC (to 2017 election) (high),PC (to 2019 election),PC (to 2019 election) (low),PC (to 2019 election) (high),PC (to 2024 election),PC (to 2024 election) (low),PC (to 2024 election) (high),PC (post-2024 election),PC (post-2024 election) (low),PC (post-2024 election) (high),Reform (to 2019 election),Reform (to 2019 election) (low),Reform (to 2019 election) (high),Reform (to 2024 election),Reform (to 2024 election) (low),Reform (to 2024 election) (high),Reform (post-2024 election),Reform (post-2024 election) (low),Reform (post-2024 election) (high),Con (poll),Lab (poll),LDem (poll),Ukip (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2015-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,39.0,12.0,8.0,1.0,,13.0,
2015-06-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,37.0,4.0,15.0,,,12.0,
2015-07-06,,,,28.0,20.24,33.87,,,,,,,,,,,,,37.0,29.24,42.87,,,,,,,,,,,,,4.0,-3.76,9.87,,,,,,,,,,,,,15.0,7.24,20.87,,,,,,,,,,,,,,,,,,,,,,12.0,4.24,17.87,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,,,,28.0,20.35,33.63,,,,,,,,,,,,,37.0,29.61,44.46,,,,,,,,,,,,,4.0,-3.65,9.96,,,,,,,,,,,,,15.0,7.35,20.96,,,,,,,,,,,,,,,,,,,,,,12.0,4.35,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-08,,,,28.0,20.35,33.63,,,,,,,,,,,,,37.0,29.61,44.46,,,,,,,,,,,,,4.0,-3.65,9.96,,,,,,,,,,,,,15.0,7.36,20.96,,,,,,,,,,,,,,,,,,,,,,12.0,4.35,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-09,,,,28.0,20.36,33.63,,,,,,,,,,,,,37.01,29.62,44.46,,,,,,,,,,,,,4.0,-3.63,9.96,,,,,,,,,,,,,15.0,7.37,20.96,,,,,,,,,,,,,,,,,,,,,,12.0,4.36,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-10,,,,27.99,20.38,33.63,,,,,,,,,,,,,37.01,29.63,44.46,,,,,,,,,,,,,4.0,-3.62,9.96,,,,,,,,,,,,,15.0,7.38,20.96,,,,,,,,,,,,,,,,,,,,,,11.99,4.38,17.63,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-11,,,,27.99,20.4,33.62,,,,,,,,,,,,,37.03,29.64,44.46,,,,,,,,,,,,,4.01,-3.58,9.96,,,,,,,,,,,,,15.01,7.42,20.96,,,,,,,,,,,,,,,,,,,,,,11.99,4.4,17.62,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-12,,,,27.98,20.43,33.61,,,,,,,,,,,,,37.05,29.7,44.46,,,,,,,,,,,,,4.01,-3.54,9.96,,,,,,,,,,,,,15.01,7.46,20.96,,,,,,,,,,,,,,,,,,,,,,11.98,4.43,17.61,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,,,,27.97,20.48,33.59,,,,,,,,,,,,,37.07,29.81,44.46,,,,,,,,,,,,,4.01,-3.49,9.96,,,,,,,,,,,,,15.01,7.52,20.96,,,,,,,,,,,,,,,,,,,,,,11.97,4.47,17.59,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-14,,,,27.96,20.52,33.57,,,,,,,,,,,,,37.1,29.95,44.46,,,,,,,,,,,,,4.02,-3.42,9.96,,,,,,,,,,,,,15.02,7.58,20.96,,,,,,,,,,,,,,,,,,,,,,11.96,4.53,17.57,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-15,,,,27.94,20.59,33.55,,,,,,,,,,,,,37.14,30.11,44.46,,,,,,,,,,,,,4.03,-3.33,9.96,,,,,,,,,,,,,15.03,7.67,20.96,,,,,,,,,,,,,,,,,,,,,,11.94,4.59,17.55,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-16,,,,27.93,20.66,33.52,,,,,,,,,,,,,37.18,30.23,44.46,,,,,,,,,,,,,4.04,-3.19,9.96,,,,,,,,,,,,,15.04,7.81,20.96,,,,,,,,,,,,,,,,,,,,,,11.93,4.66,17.52,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-17,,,,27.91,20.67,33.44,,,,,,,,,,,,,37.23,30.37,44.46,,,,,,,,,,,,,4.05,-3.06,9.95,,,,,,,,,,,,,15.05,7.94,20.95,,,,,,,,,,,,,,,,,,,,,,11.91,4.67,17.44,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-18,,,,27.88,20.7,33.33,,,,,,,,,,,,,37.29,30.46,44.46,,,,,,,,,,,,,4.06,-2.93,9.91,,,,,,,,,,,,,15.06,8.07,20.91,,,,,,,,,,,,,,,,,,,,,,11.88,4.7,17.33,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-19,,,,27.86,20.75,33.25,,,,,,,,,,,,,37.35,30.61,44.46,,,,,,,,,,,,,4.07,-2.79,9.86,,,,,,,,,,,,,15.07,8.21,20.86,,,,,,,,,,,,,,,,,,,,,,11.86,4.75,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-20,,,,27.83,20.81,33.2,,,,,,,,,,,,,37.42,30.83,44.46,,,,,,,,,,,,,4.08,-2.69,9.81,,,,,,,,,,,,,15.08,8.31,20.81,,,,,,,,,,,,,,,,,,,,,,11.83,4.81,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-21,,,,27.8,20.87,33.17,,,,,,,,,,,,,37.49,30.93,44.46,,,,,,,,,,,,,4.1,-2.59,9.72,,,,,,,,,,,,,15.1,8.41,20.73,,,,,,,,,,,,,,,,,,,,,,11.8,4.87,17.17,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,,,,27.77,20.93,32.98,,,,,,,,,,,,,37.57,30.95,44.46,,,,,,,,,,,,,4.11,-2.5,9.68,,,,,,,,,,,,,15.11,8.5,20.69,,,,,,,,,,,,,,,,,,,,,,11.77,4.93,16.98,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-23,,,,27.74,20.99,32.84,,,,,,,,,,,,,37.65,30.98,44.46,,,,,,,,,,,,,4.13,-2.39,9.77,,,,,,,,,,,,,15.13,8.61,20.77,,,,,,,,,,,,,,,,,,,,,,11.74,4.99,16.84,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-24,,,,27.7,21.05,32.77,,,,,,,,,,,,,37.74,31.01,44.46,,,,,,,,,,,,,4.15,-2.37,9.77,,,,,,,,,,,,,15.15,8.63,20.77,,,,,,,,,,,,,,,,,,,,,,11.7,5.05,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-25,,,,27.67,21.12,32.77,,,,,,,,,,,,,37.83,31.05,44.46,,,,,,,,,,,,,4.17,-2.37,9.77,,,,,,,,,,,,,15.17,8.63,20.77,,,,,,,,,,,,,,,,,,,,,,11.67,5.12,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-26,,,,27.63,21.15,32.77,,,,,,,,,,,,,37.93,31.07,44.46,,,,,,,,,,,,,4.19,-2.37,9.77,,,,,,,,,,,,,15.19,8.63,20.77,,,,,,,,,,,,,,,,,,,,,,11.63,5.15,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-27,,,,27.59,21.15,32.77,,,,,,,,,,,,,38.02,31.12,44.5,,,,,,,,,,,,,4.2,-2.37,9.77,,,,,,,,,,,,,15.2,8.63,20.77,,,,,,,,,,,,,,,,,,,,,,11.59,5.15,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-28,,,,27.55,21.15,32.77,,,,,,,,,,,,,38.12,31.15,44.58,,,,,,,,,,,,,4.22,-2.37,9.77,,,,,,,,,,,,,15.22,8.63,20.77,,,,,,,,,,,,,,,,,,,,,,11.55,5.15,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-29,,,,27.51,21.15,32.77,,,,,,,,,,,,,38.22,31.19,44.58,,,,,,,,,,,,,4.24,-2.37,9.77,,,,,,,,,,,,,15.24,8.63,20.77,,,,,,,,,,,,,,,,,,,,,,11.51,5.15,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30,,,,27.47,21.15,32.77,,,,,,,,,,,,,38.32,31.23,44.58,,,,,,,,,,,,,4.26,-2.37,9.77,,,,,,,,,,,,,15.26,8.63,20.77,,,,,,,,,,,,,,,,,,,,,,11.47,5.15,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-31,,,,27.43,21.15,32.77,,,,,,,,,,,,,38.43,31.32,44.5,,,,,,,,,,,,,4.29,-2.37,9.77,,,,,,,,,,,,,15.29,8.63,20.77,,,,,,,,,,,,,,,,,,,,,,11.43,5.15,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-01,,,,27.39,21.15,32.77,,,,,,,,,,,,,38.53,31.5,44.46,,,,,,,,,,,,,4.31,-2.37,9.77,,,,,,,,,,,,,15.31,8.63,20.77,,,,,,,,,,,,,,,,,,,,,,11.39,5.15,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-02,,,,27.34,21.15,32.71,,,,,,,,,,,,,38.64,31.7,44.46,,,,,,,,,,,,,4.33,-2.37,9.68,,,,,,,,,,,,,15.33,8.63,20.68,,,,,,,,,,,,,,,,,,,,,,11.34,5.15,16.71,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-03,,,,27.3,21.1,32.63,,,,,,,,,,,,,38.75,31.89,44.46,,,,,,,,,,,,,4.35,-2.37,9.62,,,,,,,,,,,,,15.35,8.63,20.62,,,,,,,,,,,,,,,,,,,,,,11.3,5.11,16.63,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-04,,,,27.26,21.06,32.64,,,,,,,,,,,,,38.85,32.09,44.46,,,,,,,,,,,,,4.37,-2.27,9.66,,,,,,,,,,,,,15.37,8.73,20.66,,,,,,,,,,,,,,,,,,,,,,11.26,5.06,16.64,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-05,,,,27.22,21.02,32.66,,,,,,,,,,,,,38.96,32.29,44.46,,,,,,,,,,,,,4.39,-2.16,9.77,,,,,,,,,,,,,15.39,8.84,20.77,,,,,,,,,,,,,,,,,,,,,,11.22,5.02,16.66,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-06,,,,27.17,20.97,32.77,,,,,,,,,,,,,39.07,32.5,44.58,,,,,,,,,,,,,4.41,-2.05,9.86,,,,,,,,,,,,,15.41,8.95,20.86,,,,,,,,,,,,,,,,,,,,,,11.17,4.97,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-07,,,,27.13,20.97,32.77,,,,,,,,,,,,,39.18,32.58,44.66,,,,,,,,,,,,,4.44,-1.95,9.9,,,,,,,,,,,,,15.44,9.05,20.9,,,,,,,,,,,,,,,,,,,,,,11.13,4.97,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-08,,,,27.09,21.0,32.77,,,,,,,,,,,,,39.28,32.63,44.74,,,,,,,,,,,,,4.46,-1.96,9.94,,,,,,,,,,,,,15.46,9.04,20.94,,,,,,,,,,,,,,,,,,,,,,11.09,5.0,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-09,,,,27.04,21.07,32.77,,,,,,,,,,,,,39.39,32.69,44.83,,,,,,,,,,,,,4.48,-1.97,9.96,,,,,,,,,,,,,15.48,9.03,20.96,,,,,,,,,,,,,,,,,,,,,,11.04,5.07,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-10,,,,27.0,21.13,32.77,,,,,,,,,,,,,39.5,32.84,44.91,,,,,,,,,,,,,4.5,-1.92,9.96,,,,,,,,,,,,,15.5,9.08,20.96,,,,,,,,,,,,,,,,,,,,,,11.0,5.13,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-11,,,,26.96,21.12,32.77,,,,,,,,,,,,,39.61,32.99,45.0,,,,,,,,,,,,,4.52,-1.81,9.96,,,,,,,,,,,,,15.52,9.2,20.96,,,,,,,,,,,,,,,,,,,,,,10.96,5.12,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12,,,,26.91,21.12,32.77,,,,,,,,,,,,,39.72,33.03,45.09,,,,,,,,,,,,,4.54,-1.62,9.96,,,,,,,,,,,,,15.54,9.38,20.96,,,,,,,,,,,,,,,,,,,,,,10.91,5.12,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,,,,26.87,21.18,32.78,,,,,,,,,,,,,39.82,33.09,45.17,,,,,,,,,,,,,4.56,-1.46,9.96,,,,,,,,,,,,,15.56,9.54,20.96,,,,,,,,,,,,,,,,,,,,,,10.87,5.19,16.78,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-14,,,,26.83,21.27,32.79,,,,,,,,,,,,,39.93,33.15,45.26,,,,,,,,,,,,,4.59,-1.29,9.96,,,,,,,,,,,,,15.59,9.71,20.96,,,,,,,,,,,,,,,,,,,,,,10.83,5.28,16.79,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-15,,,,26.78,21.38,32.8,,,,,,,,,,,,,40.04,33.22,45.34,,,,,,,,,,,,,4.61,-1.12,9.96,,,,,,,,,,,,,15.61,9.88,20.96,,,,,,,,,,,,,,,,,,,,,,10.78,5.38,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-16,,,,26.74,21.38,32.81,,,,,,,,,,,,,40.15,33.27,45.5,,,,,,,,,,,,,4.63,-0.95,10.0,,,,,,,,,,,,,15.63,10.05,21.0,,,,,,,,,,,,,,,,,,,,,,10.74,5.38,16.81,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-17,,,,26.7,21.34,32.82,,,,,,,,,,,,,40.25,33.27,45.67,,,,,,,,,,,,,4.65,-0.93,10.04,,,,,,,,,,,,,15.65,10.07,21.04,,,,,,,,,,,,,,,,,,,,,,10.7,5.33,16.82,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-18,,,,26.66,21.3,32.83,,,,,,,,,,,,,40.36,33.27,45.84,,,,,,,,,,,,,4.67,-0.93,10.08,,,,,,,,,,,,,15.67,10.07,21.08,,,,,,,,,,,,,,,,,,,,,,10.66,5.3,16.83,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-19,,,,26.61,21.23,32.84,,,,,,,,,,,,,40.47,33.27,45.94,,,,,,,,,,,,,4.69,-0.93,10.12,,,,,,,,,,,,,15.69,10.07,21.12,,,,,,,,,,,,,,,,,,,,,,10.61,5.23,16.84,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-20,,,,26.57,21.17,32.86,,,,,,,,,,,,,40.57,33.27,46.03,,,,,,,,,,,,,4.71,-0.93,10.16,,,,,,,,,,,,,15.71,10.07,21.16,,,,,,,,,,,,,,,,,,,,,,10.57,5.17,16.85,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-21,,,,26.53,21.1,32.87,,,,,,,,,,,,,40.68,33.27,46.13,,,,,,,,,,,,,4.74,-0.93,10.21,,,,,,,,,,,,,15.74,10.07,21.21,,,,,,,,,,,,,,,,,,,,,,10.53,5.1,16.87,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-22,,,,26.49,21.03,32.88,,,,,,,,,,,,,40.78,33.27,46.25,,,,,,,,,,,,,4.76,-0.93,10.25,,,,,,,,,,,,,15.76,10.07,21.25,,,,,,,,,,,,,,,,,,,,,,10.49,5.03,16.88,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-23,,,,26.45,20.99,32.89,,,,,,,,,,,,,40.88,33.27,46.38,,,,,,,,,,,,,4.78,-0.92,10.31,,,,,,,,,,,,,15.78,10.08,21.31,,,,,,,,,,,,,,,,,,,,,,10.45,5.0,16.88,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-24,,,,26.41,20.95,32.89,,,,,,,,,,,,,40.98,33.27,46.5,,,,,,,,,,,,,4.8,-0.92,10.44,,,,,,,,,,,,,15.8,10.08,21.43,,,,,,,,,,,,,,,,,,,,,,10.41,4.95,16.89,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,,,,26.37,20.87,32.9,,,,,,,,,,,,,41.07,33.27,46.61,,,,,,,,,,,,,4.81,-0.95,10.71,,,,,,,,,,,,,15.81,10.04,21.71,,,,,,,,,,,,,,,,,,,,,,10.37,4.87,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26,,,,26.33,20.78,33.09,,,,,,,,,,,,,41.17,33.27,46.78,,,,,,,,,,,,,4.83,-1.0,10.77,,,,,,,,,,,,,15.83,10.0,21.77,,,,,,,,,,,,,,,,,,,,,,10.33,4.78,17.09,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-27,,,,26.3,20.7,33.33,,,,,,,,,,,,,41.26,33.27,47.0,,,,,,,,,,,,,4.85,-1.06,10.81,,,,,,,,,,,,,15.85,9.95,21.81,,,,,,,,,,,,,,,,,,,,,,10.3,4.7,17.33,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-28,,,,26.26,20.67,33.46,,,,,,,,,,,,,41.35,33.27,47.2,,,,,,,,,,,,,4.87,-1.1,10.92,,,,,,,,,,,,,15.87,9.9,21.92,,,,,,,,,,,,,,,,,,,,,,10.26,4.67,17.46,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-29,,,,26.23,20.67,33.47,,,,,,,,,,,,,41.43,33.27,47.4,,,,,,,,,,,,,4.89,-1.15,11.04,,,,,,,,,,,,,15.89,9.84,22.04,,,,,,,,,,,,,,,,,,,,,,10.23,4.67,17.46,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-30,,,,26.2,20.67,33.47,,,,,,,,,,,,,41.51,33.27,47.59,,,,,,,,,,,,,4.9,-1.23,11.14,,,,,,,,,,,,,15.9,9.77,22.14,,,,,,,,,,,,,,,,,,,,,,10.2,4.67,17.48,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-31,,,,26.17,20.67,33.48,,,,,,,,,,,,,41.58,33.27,47.77,,,,,,,,,,,,,4.92,-1.29,11.25,,,,,,,,,,,,,15.92,9.71,22.25,,,,,,,,,,,,,,,,,,,,,,10.17,4.67,17.48,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,,,,26.14,20.67,33.49,,,,,,,,,,,,,41.65,33.27,47.94,,,,,,,,,,,,,4.93,-1.35,11.34,,,,,,,,,,,,,15.93,9.65,22.34,,,,,,,,,,,,,,,,,,,,,,10.14,4.67,17.49,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-02,,,,26.12,20.66,33.49,,,,,,,,,,,,,41.71,33.27,48.1,,,,,,,,,,,,,4.94,-1.41,11.43,,,,,,,,,,,,,15.94,9.59,22.43,,,,,,,,,,,,,,,,,,,,,,10.12,4.67,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-03,,,,26.09,20.66,33.5,,,,,,,,,,,,,41.77,33.27,48.27,,,,,,,,,,,,,4.95,-1.46,11.54,,,,,,,,,,,,,15.95,9.54,22.55,,,,,,,,,,,,,,,,,,,,,,10.09,4.65,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-04,,,,26.07,20.64,33.5,,,,,,,,,,,,,41.82,33.27,48.5,,,,,,,,,,,,,4.96,-1.5,11.71,,,,,,,,,,,,,15.96,9.5,22.71,,,,,,,,,,,,,,,,,,,,,,10.07,4.64,17.51,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-05,,,,26.06,20.63,33.52,,,,,,,,,,,,,41.86,33.27,48.7,,,,,,,,,,,,,4.97,-1.53,11.75,,,,,,,,,,,,,15.97,9.46,22.75,,,,,,,,,,,,,,,,,,,,,,10.06,4.63,17.52,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-06,,,,26.04,20.63,33.61,,,,,,,,,,,,,41.9,33.27,48.74,,,,,,,,,,,,,4.98,-1.57,11.78,,,,,,,,,,,,,15.98,9.43,22.78,,,,,,,,,,,,,,,,,,,,,,10.04,4.63,17.61,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-07,,,,26.03,20.62,33.66,,,,,,,,,,,,,41.93,33.27,48.78,,,,,,,,,,,,,4.99,-1.59,11.8,,,,,,,,,,,,,15.99,9.41,22.8,,,,,,,,,,,,,,,,,,,,,,10.03,4.62,17.66,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-08,,,,26.02,20.57,33.72,,,,,,,,,,,,,41.95,33.27,48.81,,,,,,,,,,,,,4.99,-1.61,11.82,,,,,,,,,,,,,15.99,9.39,22.82,,,,,,,,,,,,,,,,,,,,,,10.02,4.57,17.71,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-09,,,,26.01,20.54,33.75,,,,,,,,,,,,,41.97,33.27,48.83,,,,,,,,,,,,,4.99,-1.64,11.84,,,,,,,,,,,,,15.99,9.36,22.84,,,,,,,,,,,,,,,,,,,,,,10.01,4.54,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-10,,,,26.01,20.52,33.78,,,,,,,,,,,,,41.99,33.27,48.84,,,,,,,,,,,,,5.0,-1.64,11.85,,,,,,,,,,,,,16.0,9.36,22.85,,,,,,,,,,,,,,,,,,,,,,10.01,4.52,17.79,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-11,,,,26.0,20.5,33.8,,,,,,,,,,,,,41.99,33.27,48.86,,,,,,,,,,,,,5.0,-1.65,11.86,,,,,,,,,,,,,16.0,9.35,22.86,,,,,,,,,,,,,,,,,,,,,,10.0,4.5,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-12,,,,26.0,20.49,33.81,,,,,,,,,,,,,42.0,33.27,48.86,,,,,,,,,,,,,5.0,-1.66,11.87,,,,,,,,,,,,,16.0,9.34,22.87,,,,,,,,,,,,,,,,,,,,,,10.0,4.49,17.81,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-13,,,,26.0,20.49,33.81,,,,,,,,,,,,,42.0,33.27,48.87,,,,,,,,,,,,,5.0,-1.66,11.87,,,,,,,,,,,,,16.0,9.34,22.87,,,,,,,,,,,,,,,,,,,,,,10.0,4.49,17.82,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-14,,,,26.0,20.56,33.13,,,,,,,,,,,,,42.0,36.56,49.13,,,,,,,,,,,,,5.0,-0.44,12.13,,,,,,,,,,,,,16.0,10.56,23.13,,,,,,,,,,,,,,,,,,,,,,10.0,4.56,17.13,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-15,,,,26.0,18.75,33.13,,,,,,,,,,,,,42.0,34.75,49.13,,,,,,,,,,,,,5.0,-2.25,12.13,,,,,,,,,,,,,16.0,8.75,23.13,,,,,,,,,,,,,,,,,,,,,,10.0,2.75,17.13,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-16,,,,26.0,19.2,33.15,,,,,,,,,,,,,42.0,33.37,48.91,,,,,,,,,,,,,5.0,-2.3,12.14,,,,,,,,,,,,,16.0,9.2,23.15,,,,,,,,,,,,,,,,,,,,,,10.0,3.2,17.17,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-17,,,,26.0,19.21,33.15,,,,,,,,,,,,,42.0,33.37,48.9,,,,,,,,,,,,,5.0,-2.3,12.14,,,,,,,,,,,,,16.0,9.21,23.15,,,,,,,,,,,,,,,,,,,,,,10.0,3.21,17.17,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-18,,,,26.0,19.23,33.15,,,,,,,,,,,,,41.99,33.37,48.89,,,,,,,,,,,,,5.0,-2.28,12.14,,,,,,,,,,,,,16.0,9.23,23.15,,,,,,,,,,,,,,,,,,,,,,10.0,3.23,17.17,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-19,,,,26.0,19.27,33.15,,,,,,,,,,,,,41.99,33.37,48.88,,,,,,,,,,,,,5.0,-2.25,12.14,,,,,,,,,,,,,16.0,9.27,23.15,,,,,,,,,,,,,,,,,,,,,,10.01,3.29,17.17,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-20,,,,26.01,19.34,33.15,,,,,,,,,,,,,41.97,33.37,48.85,,,,,,,,,,,,,4.99,-2.21,12.14,,,,,,,,,,,,,16.01,9.34,23.15,,,,,,,,,,,,,,,,,,,,,,10.01,3.36,17.18,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-21,,,,26.01,19.44,33.16,,,,,,,,,,,,,41.96,33.37,48.82,,,,,,,,,,,,,4.99,-2.15,12.14,,,,,,,,,,,,,16.01,9.44,23.16,,,,,,,,,,,,,,,,,,,,,,10.02,3.46,17.19,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-22,,,,26.01,19.55,33.16,,,,,,,,,,,,,41.93,33.37,48.81,,,,,,,,,,,,,4.99,-2.06,12.13,,,,,,,,,,,,,16.01,9.56,23.16,,,,,,,,,,,,,,,,,,,,,,10.03,3.6,17.2,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-23,,,,26.02,19.64,33.16,,,,,,,,,,,,,41.9,33.37,48.8,,,,,,,,,,,,,4.98,-1.96,12.12,,,,,,,,,,,,,16.02,9.64,23.16,,,,,,,,,,,,,,,,,,,,,,10.04,3.66,17.21,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-24,,,,26.03,19.68,33.17,,,,,,,,,,,,,41.87,33.38,48.79,,,,,,,,,,,,,4.97,-1.86,12.12,,,,,,,,,,,,,16.03,9.68,23.17,,,,,,,,,,,,,,,,,,,,,,10.05,3.7,17.22,,,,,,,,,,,,,,,,,,,26.0,42.0,5.0,16.0,,,10.0,
