Party,Latest poll,2024 general election,Change
Con,17.33,24,-6.7
Lab,28.47,35,-6.5
LDem,8.72,13,-4.3
Grn,13.45,7,+6.4
Reform,26.6,15,+11.6
Other,5.4,6,-0.6
