date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2020-01-26,19.46,17.52,22.2,52.57,50.87,53.67,13.27,10.07,15.0,7.67,7.07,8.0,6.69,4.2,8.87,1.0,1.0,1.0,,,,17.0,53.0,15.0,7.0,7.0,1.0,
2020-01-27,19.49,17.62,22.23,52.56,50.84,53.61,13.26,10.08,15.0,7.67,7.08,8.0,6.69,4.24,8.84,1.0,1.0,1.0,,,,,,,,,,
2020-01-28,19.52,17.73,22.27,52.54,50.82,53.61,13.25,10.04,15.0,7.68,7.09,8.0,6.69,4.28,8.89,1.0,1.0,1.0,,,,,,,,,,
2020-01-29,19.55,17.83,22.31,52.53,50.79,53.58,13.24,10.02,15.0,7.68,7.1,8.0,6.69,4.32,8.97,1.0,1.0,1.0,,,,,,,,,,
2020-01-30,19.58,17.95,22.36,52.51,50.76,53.58,13.23,10.02,15.0,7.68,7.12,8.0,6.69,4.36,8.96,1.0,1.0,1.0,,,,,,,,,,
2020-01-31,19.61,18.0,22.4,52.48,50.73,53.58,13.21,10.03,15.0,7.68,7.13,8.0,6.69,4.41,8.96,1.0,1.0,1.0,,,,,,,,,,
2020-02-01,19.65,18.0,22.45,52.46,50.7,53.57,13.2,10.03,14.99,7.69,7.15,8.0,6.69,4.47,8.95,1.0,1.0,1.0,,,,,,,,,,
2020-02-02,19.69,18.0,22.5,52.43,50.66,53.55,13.18,10.03,14.99,7.69,7.17,8.01,6.69,4.53,8.95,1.0,1.0,1.0,,,,22.0,51.0,10.0,8.0,9.0,,
2020-02-03,19.74,18.0,22.55,52.4,50.62,53.54,13.16,10.03,14.98,7.69,7.19,8.01,6.7,4.6,8.94,1.0,1.0,1.0,,,,,,,,,,
2020-02-04,19.79,18.0,22.7,52.36,50.5,53.53,13.14,10.0,14.98,7.7,7.19,8.01,6.7,4.67,9.0,1.0,1.0,1.0,,,,,,,,,,
2020-02-05,19.84,18.0,22.77,52.32,50.45,53.5,13.11,10.0,14.98,7.7,7.21,8.02,6.71,4.75,9.0,1.0,1.0,1.0,,,,,,,,,,
2020-02-06,19.9,18.01,22.83,52.28,50.39,53.5,13.09,10.0,14.96,7.71,7.22,8.03,6.71,4.84,9.0,1.0,1.0,1.0,,,,,,,,,,
2020-02-07,19.96,18.02,22.91,52.23,50.33,53.5,13.06,10.0,14.95,7.71,7.24,8.03,6.72,4.94,9.0,1.0,1.0,1.0,,,,,,,,,,
2020-02-08,20.02,18.04,22.98,52.18,50.26,53.49,13.02,10.01,14.93,7.72,7.25,8.04,6.73,5.03,9.0,1.0,1.0,1.0,,,,,,,,,,
2020-02-09,20.09,18.07,23.05,52.13,50.2,53.44,12.99,10.01,14.91,7.72,7.26,8.05,6.74,5.13,8.99,1.0,1.0,1.0,,,,,,,,,,
2020-02-10,20.17,18.12,23.12,52.08,50.13,53.32,12.96,10.02,14.89,7.73,7.27,8.05,6.75,5.17,8.99,1.0,1.0,1.0,,,,19.0,54.0,15.0,8.0,4.0,,
2020-02-11,20.25,18.18,23.2,52.02,50.05,53.22,12.92,10.03,14.86,7.73,7.28,8.06,6.76,5.2,8.99,1.0,1.0,1.0,,,,,,,,,,
2020-02-12,20.33,18.25,23.27,51.96,49.95,53.09,12.88,10.04,14.84,7.74,7.29,8.07,6.77,5.24,8.98,1.0,1.0,1.0,,,,,,,,,,
2020-02-13,20.41,18.34,23.34,51.89,49.86,53.03,12.84,10.05,14.81,7.74,7.3,8.07,6.79,5.29,8.97,1.0,1.0,1.0,,,,,,,,,,
2020-02-14,20.5,18.44,23.48,51.83,49.74,53.0,12.8,10.06,14.77,7.74,7.31,8.08,6.8,5.36,8.96,1.0,1.0,1.0,,,,,,,,,,
2020-02-15,20.59,18.54,23.55,51.76,49.61,53.0,12.76,10.07,14.74,7.74,7.32,8.09,6.82,5.43,8.96,1.0,1.0,1.0,,,,,,,,,,
2020-02-16,20.68,18.68,23.61,51.69,49.48,53.0,12.72,10.07,14.69,7.74,7.31,8.1,6.83,5.45,8.94,1.0,1.0,1.0,,,,,,,,,,
2020-02-17,20.77,18.78,23.74,51.63,49.37,52.98,12.67,10.07,14.62,7.74,7.33,8.11,6.85,5.51,8.93,1.0,1.0,1.0,,,,,,,,,,
2020-02-18,20.87,18.86,23.85,51.56,49.32,52.97,12.63,10.07,14.56,7.74,7.31,8.12,6.86,5.54,8.92,1.0,1.0,1.0,,,,,,,,,,
2020-02-19,20.96,18.91,23.98,51.49,49.29,52.97,12.59,10.07,14.49,7.74,7.25,8.13,6.88,5.59,8.9,1.0,1.0,1.0,,,,,,,,,,
2020-02-20,21.06,18.96,24.09,51.42,49.27,52.96,12.54,10.06,14.43,7.75,7.27,8.14,6.89,5.63,8.88,1.0,1.0,1.0,,,,,,,,,,
2020-02-21,21.16,19.05,24.17,51.35,49.27,52.91,12.5,10.04,14.37,7.75,7.28,8.15,6.91,5.62,8.86,1.0,1.0,1.0,,,,,,,,,,
2020-02-22,21.25,19.17,24.25,51.28,49.21,52.84,12.45,10.02,14.3,7.75,7.27,8.16,6.92,5.66,8.84,1.0,1.0,1.0,,,,,,,,,,
2020-02-23,21.35,19.22,24.33,51.21,49.17,52.79,12.41,10.01,14.23,7.75,7.26,8.17,6.94,5.68,8.83,1.0,1.0,1.0,,,,,,,,,,
2020-02-24,21.44,19.27,24.4,51.15,49.09,52.77,12.36,10.0,14.17,7.75,7.26,8.19,6.95,5.69,8.81,1.0,1.0,1.0,,,,,,,,,,
2020-02-25,21.53,19.31,24.46,51.08,49.03,52.77,12.31,9.98,14.09,7.76,7.24,8.2,6.97,5.69,8.8,1.0,1.0,1.0,,,,,,,,,,
2020-02-26,21.62,19.37,24.51,51.02,48.97,52.76,12.27,9.97,14.03,7.76,7.22,8.22,6.98,5.69,8.78,1.0,1.0,1.0,,,,,,,,,,
2020-02-27,21.71,19.42,24.55,50.96,48.89,52.76,12.22,9.95,13.98,7.77,7.2,8.23,7.0,5.71,8.75,1.0,1.0,1.0,,,,,,,,,,
2020-02-28,21.8,19.47,24.59,50.9,48.82,52.72,12.17,9.94,13.96,7.77,7.23,8.24,7.01,5.73,8.71,1.0,1.0,1.0,,,,,,,,,,
2020-02-29,21.89,19.52,24.58,50.84,48.76,52.69,12.12,9.95,13.93,7.78,7.22,8.28,7.02,5.75,8.74,1.0,1.0,1.0,,,,,,,,,,
2020-03-01,21.97,19.59,24.57,50.78,48.7,52.66,12.07,9.95,13.88,7.79,7.18,8.33,7.04,5.77,8.73,1.0,1.0,1.0,,,,,,,,,,
2020-03-02,22.05,19.66,24.65,50.73,48.65,52.6,12.02,9.96,13.84,7.8,7.14,8.38,7.05,5.79,8.7,1.0,1.0,1.0,,,,,,,,,,
2020-03-03,22.13,19.73,24.72,50.67,48.62,52.59,11.97,9.96,13.79,7.81,7.12,8.39,7.06,5.84,8.67,1.0,1.0,1.0,,,,,,,,,,
2020-03-04,22.21,19.8,24.79,50.62,48.57,52.57,11.92,9.96,13.72,7.82,7.09,8.41,7.07,5.88,8.63,1.0,1.0,1.0,,,,,,,,,,
2020-03-05,22.29,19.88,24.83,50.58,48.53,52.55,11.87,9.94,13.67,7.83,7.04,8.43,7.08,5.92,8.6,1.0,1.0,1.0,,,,,,,,,,
2020-03-06,22.36,19.96,24.86,50.53,48.49,52.54,11.82,9.91,13.64,7.84,7.0,8.45,7.09,5.96,8.58,1.0,1.0,1.0,,,,,,,,,,
2020-03-07,22.43,19.98,24.86,50.49,48.47,52.6,11.77,9.89,13.63,7.85,6.97,8.51,7.1,6.0,8.57,1.0,1.0,1.0,,,,,,,,,,
2020-03-08,22.5,20.07,24.9,50.46,48.43,52.55,11.71,9.85,13.56,7.86,6.94,8.53,7.11,6.05,8.57,1.0,1.0,1.0,,,,,,,,,,
2020-03-09,22.57,20.15,24.95,50.43,48.44,52.54,11.66,9.8,13.51,7.87,6.92,8.55,7.12,6.08,8.56,1.0,1.0,1.0,,,,,,,,,,
2020-03-10,22.63,20.23,25.01,50.4,48.48,52.56,11.6,9.78,13.4,7.88,6.88,8.58,7.13,6.09,8.54,1.0,1.0,1.0,,,,,,,,,,
2020-03-11,22.69,20.05,25.04,50.38,48.54,52.59,11.54,9.73,13.42,7.89,6.87,8.58,7.14,6.08,8.51,1.0,1.0,1.0,,,,,,,,,,
2020-03-12,22.75,20.1,25.1,50.37,48.5,52.62,11.47,9.67,13.3,7.9,6.84,8.67,7.15,6.12,8.47,1.0,1.0,1.0,,,,,,,,,,
2020-03-13,22.8,20.15,25.13,50.37,48.47,52.63,11.41,9.64,13.24,7.91,6.82,8.73,7.16,6.16,8.45,1.0,1.0,1.0,,,,,,,,,,
2020-03-14,22.85,20.21,25.12,50.37,48.44,52.78,11.34,9.61,13.17,7.92,6.79,8.8,7.17,6.19,8.41,1.0,1.0,1.0,,,,,,,,,,
2020-03-15,22.9,20.28,25.15,50.38,48.43,52.87,11.26,9.57,13.08,7.93,6.77,8.83,7.18,6.21,8.38,1.0,1.0,1.0,,,,,,,,,,
2020-03-16,22.94,20.36,25.17,50.39,48.43,52.98,11.19,9.53,12.99,7.94,6.75,8.91,7.19,6.23,8.34,1.0,1.0,1.0,,,,,,,,,,
2020-03-17,22.98,20.44,25.19,50.42,48.44,53.03,11.1,9.48,12.86,7.95,6.73,8.94,7.2,6.25,8.3,1.0,1.0,1.0,,,,,,,,,,
2020-03-18,23.01,20.44,25.18,50.45,48.4,53.14,11.02,9.43,12.71,7.95,6.71,8.94,7.21,6.29,8.25,1.0,1.0,1.0,,,,,,,,,,
2020-03-19,23.04,20.43,25.13,50.49,48.4,53.2,10.93,9.32,12.59,7.96,6.69,8.96,7.22,6.32,8.23,1.0,1.0,1.0,,,,,,,,,,
2020-03-20,23.07,20.48,25.09,50.53,48.46,53.25,10.84,9.16,12.47,7.97,6.67,8.99,7.23,6.34,8.22,1.0,1.0,1.0,,,,,,,,,,
