Party,Latest poll,2024 general election,Change
Con,20.88,24,-3.1
Lab,40.71,35,+5.7
LDem,11.12,13,-1.9
Grn,5.85,7,-1.2
Reform,15.68,15,+0.7
Other,5.8,6,-0.2
