Party,Latest poll,2024 general election,Change
Con,22.96,24,-1.0
Lab,40.92,35,+5.9
LDem,7.77,13,-5.2
Grn,7.1,7,+0.1
Reform,19.26,15,+4.3
Other,2.0,6,-4.0
