date,Con,Con (low),Con (high),Lab,Lab (low),Lab (high),LDem,LDem (low),LDem (high),Grn,Grn (low),Grn (high),SNP,SNP (low),SNP (high),PC,PC (low),PC (high),Reform,Reform (low),Reform (high),Con (poll),Lab (poll),LDem (poll),Grn (poll),SNP (poll),PC (poll),Reform (poll)
2020-01-26,55.06,51.39,60.75,23.97,22.0,26.67,8.97,6.13,10.8,4.33,3.0,6.65,4.04,2.25,5.1,1.0,1.0,1.0,2.95,2.75,3.0,51.0,27.0,11.0,3.0,5.0,1.0,3.0
2020-01-27,55.06,51.47,60.7,23.96,22.0,26.61,8.97,6.16,10.77,4.34,3.0,6.6,4.05,2.3,5.11,1.0,1.0,1.0,2.95,2.71,3.0,,,,,,,
2020-01-28,55.07,51.54,60.84,23.94,22.0,26.55,8.96,6.07,10.73,4.34,3.0,6.71,4.06,2.16,5.17,1.0,1.0,1.0,2.94,2.67,3.0,,,,,,,
2020-01-29,55.08,51.62,60.92,23.93,22.0,26.48,8.96,6.04,10.69,4.35,3.0,6.68,4.07,2.19,5.19,1.0,1.0,1.0,2.93,2.62,3.0,,,,,,,
2020-01-30,55.09,51.71,60.91,23.92,22.0,26.41,8.95,6.04,10.65,4.36,3.0,6.63,4.08,2.21,5.21,1.0,1.0,1.0,2.91,2.58,3.0,,,,,,,
2020-01-31,55.1,51.8,60.91,23.91,22.0,26.34,8.95,6.05,10.6,4.36,3.0,6.6,4.09,2.23,5.23,1.0,1.0,1.0,2.9,2.53,3.0,,,,,,,
2020-02-01,55.12,51.88,60.89,23.89,22.01,26.26,8.94,6.05,10.56,4.37,3.0,6.55,4.11,2.27,5.25,1.0,1.0,1.0,2.89,2.48,3.0,,,,,,,
2020-02-02,55.14,51.97,60.88,23.88,22.01,26.19,8.93,6.06,10.51,4.37,3.0,6.52,4.12,2.29,5.26,1.0,1.0,1.0,2.88,2.44,3.0,61.0,23.0,6.0,3.0,2.0,1.0,3.0
2020-02-03,55.16,52.0,60.87,23.87,22.02,26.11,8.92,6.06,10.5,4.37,3.0,6.47,4.13,2.33,5.28,1.0,1.0,1.0,2.86,2.39,3.0,,,,,,,
2020-02-04,55.18,52.0,61.0,23.85,22.02,26.04,8.9,6.0,10.5,4.38,3.0,6.53,4.14,2.03,5.31,1.0,1.0,1.0,2.85,2.29,3.0,,,,,,,
2020-02-05,55.21,52.0,61.0,23.84,22.03,25.96,8.89,6.0,10.5,4.38,3.0,6.49,4.15,2.04,5.33,1.0,1.0,1.0,2.83,2.23,3.0,,,,,,,
2020-02-06,55.24,52.01,61.0,23.82,22.04,25.89,8.87,6.0,10.5,4.38,3.0,6.46,4.16,2.05,5.34,1.0,1.0,1.0,2.81,2.18,3.0,,,,,,,
