Party,Latest poll,2024 general election,Change
Con,15.84,24,-8.2
Lab,49.11,35,+14.1
LDem,12.31,13,-0.7
Grn,9.19,7,+2.2
Reform,10.79,15,-4.2
Other,2.8,6,-3.2
