Party,Latest poll,2024 general election,Change
Con,37.28,24,+13.3
Lab,23.75,35,-11.2
LDem,10.86,13,-2.1
Grn,3.13,7,-3.9
Reform,20.38,15,+5.4
Other,4.6,6,-1.4
