Party,Latest poll,2024 general election,Change
Con,18.86,24,-5.1
Lab,42.55,35,+7.5
LDem,12.85,13,-0.2
Grn,7.82,7,+0.8
Reform,12.66,15,-2.3
Other,1.8,6,-4.2
