Party,Latest poll,2024 GE (Wales),Change
Con,19.51,18.2,+1.3
Lab,39.67,37.0,+2.7
LDem,5.29,6.5,-1.2
Grn,4.07,4.7,-0.6
Reform,14.48,16.9,-2.4
PC,15.2,14.8,+0.4
