Party,Latest poll,2024 general election,Change
Con,6.7,24,-17.3
Lab,48.84,35,+13.8
LDem,15.56,13,+2.6
Grn,14.17,7,+7.2
Reform,9.22,15,-5.8
Other,1.7,6,-4.3
