Party,Latest poll,2019 general election,Change
Con,17.0,44,-27.0
Lab,33.0,32,+1.0
LDem,7.0,12,-5.0
Ukip,0.0,n/a,n/a
Grn,3.0,3,+0.0
SNP,32.0,n/a,n/a
PC,0.0,n/a,n/a
Reform,5.0,2,+3.0
