Party,Latest poll,2019 general election,Change
Con,18.9,44,-25.1
Lab,42.65,32,+10.6
LDem,5.33,12,-6.7
Ukip,0.0,n/a,n/a
Grn,4.11,3,+1.1
PC,12.58,n/a,n/a
Reform,14.56,2,+12.6
