Party,Latest poll,2019 general election,Change
Con,21.0,44,-23.0
Lab,42.0,32,+10.0
LDem,11.0,12,-1.0
Ukip,1.0,n/a,n/a
Grn,4.0,3,+1.0
SNP,4.0,n/a,n/a
PC,1.0,n/a,n/a
Reform,16.0,2,+14.0
