Party,Latest poll,Historic result,Change
Positive,18.0,40,-22.0
Negative,61.0,23,+38.0
Positive (under-50s),21.3,43,-21.7
Negative (under-50s),53.19,18,+35.2
Positive (over-50s),14.6,37,-22.4
Negative (over-50s),69.6,28,+41.6
