Party,Latest poll,2021 Senedd election,Change
Con,10.0,25.1,-15.1
Lab,15.0,27.9,-12.9
LDem,6.0,5.3,+0.7
Grn,7.0,3.6,+3.4
PC,30.0,20.3,+9.7
Reform,28.0,0.0,+28.0
