subgroup,Positive latest,Positive 2m ago,Positive 6m ago,Negative latest,Negative 2m ago,Negative 6m ago
65+,10.0,,,84.0,,
50-64,18.0,,,74.0,,
35-49,27.0,,,61.0,,
18-34,37.0,,,37.0,,
UK/GB,23.4,23.4,24.0,63.4,63.5,64.0
