Portrait,Party,Latest %,vs 2m,vs 6m
,Con,20.1,+0.3,+5.0
,Lab,23.4,+0.9,+14.1
,LDem,6.1,-0.1,-0.9
,Grn,13.6,+0.3,+3.1
,Reform,22.7,,+0.0
