Portrait,Party,Latest %,vs 2m,vs 6m
,Con,16.8,+0.8,+3.8
,Lab,27.7,+4.2,+15.3
,LDem,7.3,+0.3,+1.3
,Grn,11.5,+0.4,+2.0
,Reform,13.6,+0.1,+2.2
