Portrait,Party,Latest %,vs 2m,vs 6m
,Con,24.5,+1.2,+8.8
,Lab,28.6,+2.6,+12.9
,LDem,11.1,+0.5,+5.0
,Grn,15.0,+0.7,+2.6
,Reform,14.1,-0.9,
