Party,Latest poll,2024 general election,Change
Con,16.06,24,-7.9
Lab,29.73,35,-5.3
LDem,8.95,13,-4.1
Grn,18.19,7,+11.2
Reform,13.1,15,-1.9
Other,14.0,6,+8.0
