Portrait,Party,Latest %,vs 2m,vs 6m
,Con,23.0,+1.0,+2.3
,Lab,28.1,+3.2,+12.1
,LDem,8.0,+0.5,+2.0
,Grn,11.8,+1.8,+4.4
,Reform,9.8,-0.1,-0.6
