Party,Latest poll,2024 general election,Change
Con,22.31,24,-1.7
Lab,24.05,35,-10.9
LDem,6.36,13,-6.6
Grn,9.9,7,+2.9
Reform,15.45,15,+0.4
Other,21.9,6,+15.9
