Party,Latest poll,2024 general election,Change
Con,16.51,24,-7.5
Lab,11.9,35,-23.1
LDem,4.58,13,-8.4
Grn,11.04,7,+4.0
Reform,13.84,15,-1.2
Other,42.1,6,+36.1
