Party,Latest poll,2024 general election,Change
Con,18.85,24,-5.1
Lab,14.08,35,-20.9
LDem,5.74,13,-7.3
Grn,7.91,7,+0.9
Reform,12.91,15,-2.1
Other,37.3,6,+31.3
