Party,Latest poll,2024 general election,Change
Con,25.85,24,+1.9
Lab,23.66,35,-11.3
LDem,9.35,13,-3.7
Grn,15.6,7,+8.6
Reform,19.94,15,+4.9
Other,5.6,6,-0.4
