Party,Latest poll,2024 general election,Change
Con,16.35,24,-7.6
Lab,9.27,35,-25.7
LDem,6.0,13,-7.0
Grn,10.58,7,+3.6
Reform,17.5,15,+2.5
Other,40.3,6,+34.3
