Portrait,Party,Latest %,vs 2m,vs 6m
,Con,16.1,+0.7,+4.4
,Lab,29.7,+3.7,+16.3
,LDem,8.9,+0.2,+2.7
,Grn,18.2,+0.3,+2.4
,Reform,13.1,+1.1,+4.1
