Portrait,Party,Latest %,vs 2m,vs 6m
,Con,15.5,-0.1,-0.6
,Lab,27.6,+4.8,+22.5
,LDem,11.8,-0.4,-2.2
,Grn,12.4,+2.4,+9.4
,Reform,14.7,+3.1,+4.7
