Party,Latest poll,2024 general election,Change
Con,20.97,24,-3.0
Lab,19.77,35,-15.2
LDem,7.29,13,-5.7
Grn,9.87,7,+2.9
Reform,9.75,15,-5.2
Other,32.4,6,+26.4
