Portrait,Party,Latest %,vs 2m,vs 6m
,Con,22.1,+1.1,+1.1
,Lab,20.6,+2.7,+5.9
,LDem,6.8,+0.2,+1.5
,Grn,11.8,+2.5,+7.2
,Reform,14.7,-0.1,-0.3
