Portrait,Party,Latest %,vs 2m,vs 6m
,Con,23.0,+1.1,+6.6
,Lab,19.4,+1.7,+9.6
,LDem,9.0,+-0.0,+0.0
,Grn,14.8,+1.0,+2.7
,Reform,19.3,+0.0,+0.0
