Party,Latest poll,2024 GE (Wales),Change
Con,21.09,18.2,+2.9
Lab,28.24,37.0,-8.8
LDem,6.1,6.5,-0.4
Grn,13.26,4.7,+8.6
Reform,20.77,16.9,+3.9
PC,12.0,14.8,-2.8
