Party,Latest poll,2024 GE (Scotland),Change
Con,15.37,12.7,+2.7
Lab,22.51,35.3,-12.8
LDem,13.0,4.7,+8.3
Grn,10.88,5.5,+5.4
Reform,10.0,7.1,+2.9
SNP,14.0,29.9,-15.9
