Portrait,Party,Latest %,vs 2m,vs 6m
,Con,20.3,-0.1,-2.5
,Lab,15.8,+0.0,-1.4
,LDem,6.6,+0.2,+1.3
,Grn,10.2,+0.4,+2.8
,Reform,13.0,+0.1,+0.1
